LSU Tissue#,Date Collected,Location,Lat.,Long.,Sex,Culmen Length (mm),Tarsus (mm),Wing Chord (mm),Tail (mm),Mass (g),Fat Mass (g),Lean Mass (g)
B-97118,2/20/21,"Maurice, LA",30.08,-92.2,F,12.39,14.08,142,68,28.86,4.4,19.68
B-97119,2/20/21,"Maurice, LA",30.08,-92.2,M,11.69,15.86,149,68,34.6,4.28,25.15
B-97120,2/20/21,"Maurice, LA",30.08,-92.2,M,11.83,14.62,147,72,29.4,3.93,20.86
B-97121,2/20/21,"Maurice, LA",30.08,-92.2,M,11.71,15.07,141,70,33.74,4.44,24.01
B-97122,2/20/21,"Maurice, LA",30.08,-92.2,M,11.41,16.15,137,67,33.33,4.81,23.36
B-97123,2/20/21,"Maurice, LA",30.08,-92.2,F,11.25,15.09,149,75,33.8,4.6,23.84
B-97124,2/20/21,"Maurice, LA",30.08,-92.2,M,11.39,14.83,155,77,36.17,4.82,26.41
B-97125,2/20/21,"Maurice, LA",30.08,-92.2,F,11.63,15.79,148,71,34.07,4.86,25.07
B-97126,2/20/21,"Maurice, LA",30.08,-92.2,M,12.94,14.89,146,74,32.84,4.43,23.26
B-97127,2/20/21,"Maurice, LA",30.08,-92.2,M,11.76,14.27,145,72,35.91,5.53,24.78
B-97128,2/20/21,"Maurice, LA",30.08,-92.2,M,11.93,14.15,146,73,33.32,4.57,23.12
B-97129,2/20/21,"Maurice, LA",30.08,-92.2,M,11.39,15.14,146,72,37.03,6.02,25.04
B-97130,2/20/21,"Maurice, LA",30.08,-92.2,M,11.81,15.27,146,76,32.5,5.11,22.23
B-97131,2/20/21,"Maurice, LA",30.08,-92.2,M,11.28,14.31,141,71,32.84,4.73,23.51
B-97132,2/20/21,"Maurice, LA",30.08,-92.2,M,11.14,14.74,147,76,34.58,5.18,24.5
B-97133,2/20/21,"Maurice, LA",30.08,-92.2,M,11.82,14.75,145,71,29.4,4.1,19.84
B-97134,2/20/21,"Maurice, LA",30.08,-92.2,M,11.52,14.7,147,73,30.55,3.92,21.47
B-97135,2/20/21,"Maurice, LA",30.08,-92.2,M,12.23,14.85,150,77,33.5,4.56,23.32
B-97136,2/20/21,"Maurice, LA",30.08,-92.2,M,11.79,14.59,147,75,34.25,4.47,24.98
B-97137,2/20/21,"Maurice, LA",30.08,-92.2,M,11.98,14.46,145,73,35.18,5.01,25.08
B-97138,2/20/21,"Maurice, LA",30.08,-92.2,M,10.42,14.39,149,76,33.45,4.44,23.83
B-97139,2/20/21,"Maurice, LA",30.08,-92.2,M,11.86,13.93,144,73,31.53,4.73,21.4
B-97140,2/20/21,"Maurice, LA",30.08,-92.2,M,11.79,14.98,143,75,36.98,6.55,24.79
B-97141,2/20/21,"Maurice, LA",30.08,-92.2,M,11.29,13.03,150,74,34.89,4.83,24.64
B-97142,2/20/21,"Maurice, LA",30.08,-92.2,M,11.39,14.22,146,70,34.19,4.65,24.31
B-97143,2/20/21,"Maurice, LA",30.08,-92.2,M,11.43,14,146,72,33.41,5.06,23.37
B-97144,2/20/21,"Maurice, LA",30.08,-92.2,M,11.84,14.51,145,75,36.05,5.64,24.89
B-97145,2/20/21,"Maurice, LA",30.08,-92.2,M,12.11,15.85,151,76,37.56,6.13,25.78
B-97146,2/18/21,"Denham Springs, LA",30.5,-90.94,M,10.72,15.91,146,73,34.85,5.43,24.43
B-97147,2/18/21,"Denham Springs, LA",30.5,-90.94,M,10.79,16.07,145,75,37.28,5.04,27.09
B-97148,2/18/21,"Denham Springs, LA",30.5,-90.94,F,10.11,15.12,142,74,32.93,5.29,22.83
B-97149,2/18/21,"Denham Springs, LA",30.5,-90.94,F,10.4,16.23,145,72,37.25,5.86,26.52
B-97150,2/18/21,"Denham Springs, LA",30.5,-90.94,F,10.1,15.79,143,68,33.96,5.4,23.15
B-97151,2/18/21,"Denham Springs, LA",30.5,-90.94,M,9.88,15.64,147,72,34.71,5.14,24.09
