Latitude,Longitude,Adult Arrival Date
32.61297,-90.168991,1/31/21
29.4813295,-95.3665988,1/31/21
31.2818036,-92.4894592,1/31/21
29.496137,-94.9144456,1/31/21
33.448718,-86.479982,1/31/21
32.2206477,-85.5011298,1/31/21
30.960183,-86.683121,1/31/21
29.5391582,-94.759936,1/31/21
31.5623915,-89.4994288,1/31/21
30.5388436,-88.0823855,1/31/21
29.8004094,-90.4243506,1/31/21
29.2814888,-82.438097,1/31/21
29.3510842,-81.7350812,1/31/21
30.096172,-94.320922,1/31/21
29.7203435,-90.5988169,1/31/21
28.8917618,-81.7239552,1/31/21
30.6627158,-92.172557,1/31/21
30.7385385,-87.1881852,1/31/21
30.1488097,-91.9750222,1/31/21
27.6008673,-97.2280601,1/31/21
31.7670952,-93.1354992,1/31/21
29.5400255,-95.2422281,2/1/21
31.4434819,-88.2594371,2/1/21
30.5910028,-90.9507118,2/1/21
30.5174362,-90.9103614,2/1/21
30.5910561,-90.9506045,2/1/21
30.7867829,-85.4830142,2/1/21
29.9518881,-93.9110113,2/1/21
30.1485096,-95.4089064,2/1/21
28.8662522,-97.0284886,2/1/21
30.3040089,-81.6592622,2/1/21
30.9615786,-86.6889257,2/1/21
30.2614072,-93.2681975,2/1/21
29.3984572,-98.5433702,2/1/21
31.872342,-89.670499,2/1/21
30.0284336,-99.1376163,2/1/21
28.8179573,-81.6254069,2/1/21
32.5739585,-86.8621239,2/1/21
30.3098699,-91.1953129,2/1/21
32.296065,-81.415752,2/1/21
30.043806,-85.4832676,2/1/21
30.2648833,-96.8868543,2/1/21
30.4872593,-91.5070705,2/1/21
29.8243651,-84.7037369,2/1/21
31.312995,-89.7440759,2/2/21
32.9931208,-92.1769897,2/2/21
29.3708857,-100.8958674,2/2/21
32.4015233,-99.5048246,2/2/21
32.633106,-87.3431699,2/2/21
29.873443,-90.8173112,2/2/21
32.8273977,-93.847121,2/2/21
27.700608,-97.4066536,2/2/21
33.3942965,-85.1385167,2/2/21
